@id,rdf:type{URIRef},rdfs:comment{Literal},rdfs:label{Literal}
survol:AAAASynthesizedrecords,rdf:Property,Number of synthesized AAAA records.,AAAASynthesizedrecords
survol:AAAAqueriesFailed,rdf:Property,Number of AAAA queries unsuccessfully served by the DNS64 server.,AAAAqueriesFailed
survol:AAAAqueriesSuccessful,rdf:Property,Number of AAAA queries successfully served by the DNS64 server.,AAAAqueriesSuccessful
survol:ACLflusheventsPersec,rdf:Property,Number of ACL flush events per second,ACLflusheventsPersec
survol:ADActivationCsvlkPid,rdf:Property,KMS host PID in AO used for the last AD activation.,ADActivationCsvlkPid
survol:ADActivationCsvlkSkuId,rdf:Property,KMS host SkuId in AO used for the last AD activation.,ADActivationCsvlkSkuId
survol:ADActivationObjectDN,rdf:Property,Fully qualified distinguished name of AO used for the last AD activation.,ADActivationObjectDN
survol:ADActivationObjectName,rdf:Property,Name of AO used for the last AD activation.,ADActivationObjectName
survol:AFTSExecutionTimems,rdf:Property,AFTS Execution Time (ms),AFTSExecutionTimems
survol:AGEresponsesreceivedPersec,rdf:Property,Number of AGE responses received per second,AGEresponsesreceivedPersec
survol:APICEOIAccessesPersec,rdf:Property,The rate of APIC EOI register writes by guest code on the virtual processor.,APICEOIAccessesPersec
survol:APICIPIsSentPersec,rdf:Property,The rate of APIC inter-processor interrupts (including to self) sent by the virtual processor.,APICIPIsSentPersec
survol:APICMMIOAccessesPersec,rdf:Property,The rate of APIC MMIO register accesses by guest code on the virtual processor.,APICMMIOAccessesPersec
survol:APICSelfIPIsSentPersec,rdf:Property,The rate of APIC interrupts sent by the virtual processor to itself.,APICSelfIPIsSentPersec
survol:APICTPRAccessesPersec,rdf:Property,The rate of APIC TPR accesses by guest code on the virtual processor.,APICTPRAccessesPersec
survol:ASPScriptDefaultNamespace,rdf:Property,The ASPScriptDefaultNamespace property contains the namespace used by calls from the script API if none is specified by the caller.,ASPScriptDefaultNamespace
survol:ASPScriptEnabled,rdf:Property,"The ASPScriptEnabled property indicates whether WMI scripting can be used on Active Server Pages (ASP). This property is valid on Windows NT 4.0 systems only. For Windows 2000 systems, WMI scripting is always allowed on ASP.",ASPScriptEnabled
survol:AUcleanupbatchesPersec,rdf:Property,The number of batches that completed successfully per second by the background task that cleans up deferred dropped allocation units.,AUcleanupbatchesPersec
survol:AUcleanupsPersec,rdf:Property,The number of allocation units per second that were successfully dropped by the background task that cleans up deferred dropped allocation units. Each allocation unit drop requires multiple batches.,AUcleanupsPersec
survol:AbortReadWriteOnError,rdf:Property,"The AbortReadWriteOnError property indicates whether read and write operations are terminated if an error occurs.
Values: TRUE or FALSE. If TRUE, the driver terminates all read and write operations with an error status if an error occurs. The driver will not accept any further communications operations until the application acknowledges the error.",AbortReadWriteOnError
survol:AbortedTransactions,rdf:Property,Number of aborted transactions,AbortedTransactions
survol:AbortedTransactionsPersec,rdf:Property,Transactions aborted per second,AbortedTransactionsPersec
survol:AcceleratorCapabilities,rdf:Property,An array of integers indicating the graphics and 3D capabilities of the video controller.,AcceleratorCapabilities
survol:AcceptPause,rdf:Property,"The AcceptPause property indicates whether the service can be paused.
Values: TRUE or FALSE. A value of TRUE indicates the service can be paused.",AcceptPause
survol:AcceptStop,rdf:Property,"The AcceptStop property indicates whether the service can be stopped.
Values: TRUE or FALSE. A value of TRUE indicates the service can be stopped.",AcceptStop
survol:AcceptableValues,rdf:Property,"The AcceptableValues property details which of the strings in the PossibleValues property are considered 'acceptable' (i.e., 'not an error').",AcceptableValues
survol:Access,rdf:Property,"Access describes whether the media is readable (value=1), writeable (value=2), or both (value=3). ""Unknown"" (0) and ""Write Once"" (4) can also be defined.",Access
